epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,949.49,1.19999,0.64751,0.99352,0.99738,0.97917,0.99336,0.77396,0.82652,0.41663,0.91126,0.0011521,0.0011521,0.0011521
80,961.356,1.21191,0.64447,1.00143,0.99956,0.9822,0.99099,0.76438,0.85085,0.41923,0.91519,0.0011455,0.0011455,0.0011455
81,973.081,1.17618,0.62946,0.99754,0.98931,0.97761,0.99261,0.77059,0.84408,0.42286,0.91927,0.00113889,0.00113889,0.00113889
82,984.832,1.17702,0.62998,0.99118,0.99498,0.98333,0.99331,0.77857,0.83883,0.41936,0.91753,0.00113229,0.00113229,0.00113229
83,996.639,1.20898,0.64281,0.998,0.98926,0.9875,0.99315,0.77688,0.86067,0.42407,0.91917,0.00112569,0.00112569,0.00112569
84,1008.49,1.19239,0.64404,0.99677,0.99007,0.98268,0.99286,0.77557,0.83538,0.40911,0.91036,0.00111909,0.00111909,0.00111909
85,1020.22,1.19541,0.64593,0.98831,0.98536,0.98275,0.99325,0.77463,0.85412,0.42153,0.921,0.00111249,0.00111249,0.00111249
86,1032.04,1.18314,0.63404,0.9932,0.98387,0.98333,0.99377,0.78028,0.82713,0.40568,0.9107,0.00110589,0.00110589,0.00110589
87,1043.94,1.19004,0.62494,0.99009,0.97158,0.98648,0.99197,0.78137,0.81032,0.4083,0.91103,0.00109929,0.00109929,0.00109929
88,1055.74,1.17094,0.6265,0.98865,0.97554,0.9875,0.99249,0.78109,0.81915,0.40881,0.90769,0.00109269,0.00109269,0.00109269
89,1067.64,1.15231,0.61024,0.98851,0.99682,0.97671,0.99411,0.78028,0.81984,0.40164,0.9055,0.00108608,0.00108608,0.00108608
90,1079.62,1.1616,0.61492,0.98009,0.97776,0.97907,0.98844,0.76267,0.83983,0.41546,0.92467,0.00107948,0.00107948,0.00107948
91,1091.5,1.16205,0.62172,0.98663,0.99699,0.97917,0.99364,0.77919,0.81617,0.39348,0.90978,0.00107288,0.00107288,0.00107288
92,1103.31,1.16224,0.62036,0.98465,0.98257,0.98333,0.9928,0.7829,0.80754,0.39406,0.90458,0.00106628,0.00106628,0.00106628
93,1115.26,1.15679,0.61206,0.99077,0.99757,0.97083,0.99312,0.77812,0.81179,0.39314,0.91121,0.00105968,0.00105968,0.00105968
94,1127.15,1.18069,0.62158,0.98913,0.97189,0.9875,0.98894,0.77113,0.85127,0.41012,0.9169,0.00105308,0.00105308,0.00105308
95,1139.01,1.14718,0.60812,0.97379,0.99015,0.98617,0.99212,0.77694,0.83432,0.40545,0.90922,0.00104648,0.00104648,0.00104648
96,1150.85,1.14372,0.61408,0.98526,0.99124,0.97852,0.98766,0.78058,0.80332,0.39746,0.90536,0.00103987,0.00103987,0.00103987
97,1162.73,1.15196,0.60238,0.98554,0.98858,0.97917,0.99258,0.77116,0.82329,0.40364,0.91205,0.00103327,0.00103327,0.00103327
98,1174.6,1.16264,0.62657,0.98124,0.97543,0.98504,0.99055,0.77118,0.83759,0.40413,0.92087,0.00102667,0.00102667,0.00102667
99,1186.47,1.16175,0.61787,0.98844,0.99752,0.97917,0.99243,0.77866,0.81397,0.39461,0.91126,0.00102007,0.00102007,0.00102007
100,1198.33,1.14122,0.60049,0.97254,0.99765,0.97917,0.9921,0.76836,0.86548,0.4213,0.92491,0.00101347,0.00101347,0.00101347
101,1210.36,1.14382,0.59265,0.97913,0.99762,0.97917,0.99399,0.76818,0.85509,0.40654,0.91804,0.00100687,0.00100687,0.00100687
102,1222.22,1.12342,0.58862,0.97923,0.99739,0.97917,0.99431,0.76914,0.86185,0.39442,0.92185,0.00100027,0.00100027,0.00100027
103,1234.11,1.14177,0.59896,0.97956,0.99373,0.97917,0.9936,0.78355,0.81242,0.39628,0.90847,0.000993665,0.000993665,0.000993665
104,1245.93,1.13345,0.59447,0.97816,0.98958,0.97586,0.98989,0.76365,0.85715,0.41267,0.91922,0.000987064,0.000987064,0.000987064
105,1257.85,1.15371,0.60141,0.97694,0.99781,0.97917,0.99332,0.77953,0.80995,0.38696,0.90233,0.000980463,0.000980463,0.000980463
106,1269.73,1.12038,0.59679,0.97812,0.99834,0.9791,0.99411,0.78231,0.8335,0.38598,0.91083,0.000973861,0.000973861,0.000973861
107,1281.56,1.13439,0.59239,0.97563,0.99728,0.97917,0.99267,0.78045,0.79913,0.37921,0.90451,0.00096726,0.00096726,0.00096726
108,1293.42,1.13695,0.59727,0.97729,0.99799,0.97917,0.99404,0.78737,0.78521,0.37711,0.8986,0.000960659,0.000960659,0.000960659
109,1305.29,1.13643,0.59153,0.97858,0.99854,0.97917,0.994,0.79015,0.80336,0.38483,0.90249,0.000954057,0.000954057,0.000954057
110,1317.14,1.10862,0.58762,0.97002,0.99744,0.97917,0.99395,0.78935,0.81375,0.38597,0.90433,0.000947456,0.000947456,0.000947456
111,1329.11,1.1244,0.59099,0.96241,0.98216,0.9875,0.99397,0.78745,0.81259,0.38623,0.90478,0.000940855,0.000940855,0.000940855
112,1340.96,1.11721,0.59195,0.9735,0.99736,0.97917,0.99386,0.78321,0.81332,0.38272,0.91123,0.000934253,0.000934253,0.000934253
113,1352.82,1.10386,0.57337,0.96722,0.99815,0.97917,0.99436,0.78745,0.80598,0.37234,0.90748,0.000927652,0.000927652,0.000927652
114,1364.65,1.10428,0.58847,0.96908,0.99823,0.97917,0.99312,0.78088,0.7905,0.37743,0.90147,0.000921051,0.000921051,0.000921051
