epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,879.392,1.16377,0.6357,0.99409,0.9867,0.98712,0.98972,0.75378,0.85713,0.40864,0.91661,0.000896846,0.000896846,0.000896846
72,891.558,1.16258,0.63265,0.99414,0.98546,0.98687,0.99283,0.77476,0.84281,0.41878,0.90973,0.000885844,0.000885844,0.000885844
73,903.831,1.16995,0.62882,0.98879,0.98864,0.97503,0.98762,0.77832,0.82096,0.41386,0.90496,0.000874842,0.000874842,0.000874842
74,916.096,1.17984,0.62358,0.98588,0.97792,0.98214,0.99126,0.76887,0.84825,0.41561,0.91703,0.000863839,0.000863839,0.000863839
75,928.318,1.15653,0.61797,0.9833,0.9866,0.97917,0.99136,0.78278,0.82283,0.4067,0.90799,0.000852837,0.000852837,0.000852837
76,940.548,1.17966,0.62594,0.99378,0.98318,0.98333,0.99188,0.76165,0.88165,0.43023,0.92544,0.000841835,0.000841835,0.000841835
77,952.785,1.1556,0.60572,0.98905,0.98597,0.98212,0.98618,0.77519,0.81997,0.40748,0.91141,0.000830833,0.000830833,0.000830833
78,965.045,1.16287,0.61436,0.98948,0.98207,0.9875,0.99204,0.7743,0.82939,0.39984,0.91085,0.000819831,0.000819831,0.000819831
79,977.239,1.15827,0.61821,0.9836,0.98597,0.98707,0.99336,0.77579,0.80831,0.39745,0.91024,0.000808828,0.000808828,0.000808828
80,989.429,1.17465,0.62048,0.99039,0.98952,0.97723,0.99185,0.77781,0.82946,0.40333,0.90876,0.000797826,0.000797826,0.000797826
81,1001.68,1.1429,0.61233,0.99075,0.98941,0.97802,0.99062,0.76459,0.84763,0.40489,0.91419,0.000786824,0.000786824,0.000786824
82,1013.9,1.15523,0.61596,0.98613,0.98039,0.9909,0.99396,0.77929,0.80714,0.40177,0.90705,0.000775822,0.000775822,0.000775822
83,1026.13,1.1652,0.61126,0.98673,0.9905,0.9905,0.99413,0.77629,0.85942,0.40788,0.91441,0.00076482,0.00076482,0.00076482
84,1038.35,1.13665,0.60944,0.98076,0.97659,0.98978,0.99414,0.77956,0.82037,0.38702,0.90399,0.000753817,0.000753817,0.000753817
85,1050.73,1.1468,0.61162,0.974,0.98227,0.9875,0.99342,0.7837,0.80212,0.39176,0.90175,0.000742815,0.000742815,0.000742815
86,1062.96,1.14869,0.60606,0.98365,0.99827,0.97879,0.99435,0.78994,0.79341,0.37684,0.90034,0.000731813,0.000731813,0.000731813
87,1075.17,1.14843,0.60194,0.98054,0.98867,0.97917,0.99354,0.78456,0.81515,0.38056,0.90504,0.000720811,0.000720811,0.000720811
88,1087.52,1.13378,0.59925,0.97605,0.99034,0.97917,0.9891,0.78009,0.8366,0.39361,0.90484,0.000709809,0.000709809,0.000709809
89,1099.72,1.12115,0.58711,0.97981,0.99014,0.97917,0.99354,0.78413,0.80547,0.38849,0.90179,0.000698806,0.000698806,0.000698806
90,1112.07,1.127,0.5868,0.97241,0.97729,0.97917,0.99038,0.77892,0.82939,0.39644,0.90815,0.000687804,0.000687804,0.000687804
91,1124.27,1.12739,0.59518,0.97658,0.98155,0.98992,0.99431,0.78053,0.83112,0.39453,0.90825,0.000676802,0.000676802,0.000676802
92,1136.61,1.12542,0.59607,0.97674,0.97792,0.98252,0.99359,0.79637,0.78049,0.38992,0.89452,0.0006658,0.0006658,0.0006658
93,1148.89,1.11741,0.58416,0.97667,0.98893,0.97617,0.9923,0.78166,0.78707,0.37932,0.89756,0.000654798,0.000654798,0.000654798
94,1161.26,1.13378,0.59708,0.97413,0.98172,0.97917,0.9901,0.77683,0.82749,0.39247,0.90411,0.000643795,0.000643795,0.000643795
95,1173.67,1.10256,0.58301,0.96459,0.97965,0.99076,0.99083,0.77284,0.83777,0.39362,0.90583,0.000632793,0.000632793,0.000632793
96,1186.28,1.10085,0.58614,0.97272,0.96881,0.9875,0.99235,0.78893,0.81882,0.39071,0.90089,0.000621791,0.000621791,0.000621791
97,1198.48,1.11123,0.58166,0.97501,0.98013,0.98333,0.99201,0.78416,0.82504,0.39176,0.90713,0.000610789,0.000610789,0.000610789
98,1210.69,1.1171,0.59472,0.96753,0.98083,0.97799,0.99055,0.77419,0.82904,0.3982,0.9085,0.000599787,0.000599787,0.000599787
99,1222.89,1.11507,0.58736,0.97659,0.98929,0.97818,0.99211,0.79499,0.78151,0.38166,0.89568,0.000588784,0.000588784,0.000588784
100,1235.11,1.09136,0.57334,0.96199,0.97557,0.97917,0.98738,0.78613,0.8227,0.39268,0.9026,0.000577782,0.000577782,0.000577782
101,1247.36,1.09081,0.56635,0.96392,0.97765,0.98687,0.99038,0.78588,0.80161,0.38451,0.89828,0.00056678,0.00056678,0.00056678
102,1259.57,1.07719,0.56352,0.96758,0.98941,0.97917,0.99244,0.77885,0.82687,0.38243,0.90664,0.000555778,0.000555778,0.000555778
103,1271.77,1.0985,0.57365,0.96928,0.98342,0.98581,0.99034,0.78536,0.78966,0.37972,0.89884,0.000544776,0.000544776,0.000544776
104,1283.98,1.09119,0.56955,0.96667,0.97842,0.97731,0.98654,0.78567,0.79097,0.3801,0.89485,0.000533773,0.000533773,0.000533773
105,1296.19,1.0984,0.57168,0.96316,0.98031,0.97917,0.99243,0.77397,0.82265,0.39163,0.90215,0.000522771,0.000522771,0.000522771
106,1308.36,1.07841,0.56709,0.9644,0.98655,0.98092,0.9928,0.76847,0.85482,0.38024,0.90953,0.000511769,0.000511769,0.000511769
107,1320.53,1.08605,0.55887,0.96372,0.98157,0.97917,0.99172,0.79187,0.78778,0.37089,0.89478,0.000500767,0.000500767,0.000500767
108,1332.64,1.0761,0.56076,0.96253,0.99012,0.98585,0.99351,0.78242,0.81139,0.37283,0.89875,0.000489765,0.000489765,0.000489765
109,1344.87,1.06932,0.55119,0.96105,0.98867,0.97917,0.99375,0.7854,0.81843,0.37824,0.90028,0.000478762,0.000478762,0.000478762
110,1357.1,1.05992,0.55122,0.95453,0.99311,0.975,0.99381,0.79256,0.78583,0.37153,0.89293,0.00046776,0.00046776,0.00046776
111,1369.28,1.07579,0.5594,0.94939,0.97933,0.98454,0.98973,0.7874,0.78831,0.37068,0.89308,0.000456758,0.000456758,0.000456758
112,1381.51,1.06814,0.55836,0.95881,0.98111,0.97917,0.99062,0.7815,0.8009,0.36897,0.89733,0.000445756,0.000445756,0.000445756
113,1393.71,1.05961,0.5422,0.95764,0.97761,0.98279,0.99154,0.7933,0.78152,0.36596,0.8932,0.000434754,0.000434754,0.000434754
114,1405.98,1.05615,0.55275,0.95627,0.98918,0.975,0.99132,0.78564,0.78152,0.37133,0.89297,0.000423751,0.000423751,0.000423751
115,1418.24,1.06887,0.55617,0.95077,0.98912,0.97917,0.99115,0.78837,0.78227,0.36593,0.89447,0.000412749,0.000412749,0.000412749
116,1430.44,1.0486,0.54752,0.95489,0.98676,0.98183,0.99162,0.77954,0.81767,0.36964,0.90394,0.000401747,0.000401747,0.000401747
117,1442.69,1.06785,0.55897,0.95839,0.98211,0.98205,0.98064,0.77969,0.79524,0.36504,0.90056,0.000390745,0.000390745,0.000390745
118,1455.02,1.04501,0.54915,0.95445,0.99056,0.98333,0.98842,0.77419,0.8069,0.36559,0.90262,0.000379743,0.000379743,0.000379743
119,1467.29,1.03407,0.54224,0.95049,0.98943,0.97917,0.99078,0.78843,0.79399,0.36111,0.89639,0.00036874,0.00036874,0.00036874
120,1479.55,1.0409,0.53862,0.9462,0.98946,0.98644,0.98875,0.78537,0.77178,0.35403,0.88729,0.000357738,0.000357738,0.000357738
121,1491.75,1.06488,0.5479,0.95968,0.98794,0.97917,0.98767,0.78244,0.78322,0.36746,0.89161,0.000346736,0.000346736,0.000346736
122,1504.01,1.044,0.53727,0.95302,0.99028,0.97917,0.98715,0.78185,0.77975,0.35582,0.89557,0.000335734,0.000335734,0.000335734
123,1516.33,1.03773,0.53795,0.95075,0.99091,0.9778,0.98786,0.78888,0.7768,0.34859,0.89671,0.000324732,0.000324732,0.000324732
124,1528.56,1.02058,0.53029,0.9482,0.98952,0.97917,0.989,0.78798,0.78564,0.35533,0.89468,0.000313729,0.000313729,0.000313729
125,1540.78,1.05692,0.54381,0.95211,0.99092,0.98096,0.98894,0.77117,0.81371,0.36079,0.90131,0.000302727,0.000302727,0.000302727
126,1553.05,1.03681,0.53297,0.94111,0.98128,0.97917,0.98703,0.78447,0.78286,0.35573,0.89481,0.000291725,0.000291725,0.000291725
127,1565.25,1.03039,0.53455,0.94798,0.98992,0.98333,0.98945,0.7815,0.79456,0.35955,0.89766,0.000280723,0.000280723,0.000280723
128,1578.62,1.01112,0.5204,0.94007,0.98476,0.98333,0.98988,0.7901,0.78157,0.35931,0.89609,0.000269721,0.000269721,0.000269721
129,1590.66,1.03016,0.53545,0.94353,0.98164,0.9875,0.99135,0.80026,0.76796,0.36087,0.88834,0.000258718,0.000258718,0.000258718
130,1602.54,1.01308,0.52717,0.9425,0.98126,0.99164,0.98959,0.78789,0.78666,0.36189,0.89339,0.000247716,0.000247716,0.000247716
131,1614.33,1.02153,0.53099,0.94274,0.98983,0.9823,0.98754,0.78048,0.79208,0.36052,0.89764,0.000236714,0.000236714,0.000236714
132,1626.17,1.00713,0.519,0.93844,0.98615,0.975,0.98735,0.79084,0.76818,0.35526,0.89136,0.000225712,0.000225712,0.000225712
133,1637.99,1.01112,0.52061,0.94273,0.98847,0.975,0.98943,0.78215,0.80309,0.35911,0.89823,0.00021471,0.00021471,0.00021471
134,1649.84,1.03135,0.53172,0.94456,0.98842,0.975,0.98807,0.78996,0.76298,0.34596,0.88801,0.000203707,0.000203707,0.000203707
135,1661.56,0.99532,0.51809,0.9423,0.98921,0.975,0.98845,0.79243,0.76619,0.35601,0.89003,0.000192705,0.000192705,0.000192705
136,1673.37,1.00894,0.5158,0.93704,0.98907,0.97083,0.99088,0.80101,0.76493,0.35779,0.88707,0.000181703,0.000181703,0.000181703
137,1685.16,1.0094,0.5212,0.93511,0.99074,0.97865,0.98839,0.79647,0.76856,0.3569,0.88971,0.000170701,0.000170701,0.000170701
138,1696.99,0.98081,0.50756,0.93364,0.98517,0.975,0.98619,0.78885,0.78115,0.35884,0.89229,0.000159699,0.000159699,0.000159699
